nombre_embalse	fecha	hora	cota
ANGOSTURA	2022-01-01	1	316,42
CHAPO	2022-01-01	1	234,57
COLBUN	2022-01-01	1	430,0
INVERNADA	2022-01-01	1	1293,18
LAJA	2022-01-01	1	1319,33
MACHICURA	2022-01-01	1	256,75
MAULE	2022-01-01	1	2161,08
MELADO	2022-01-01	1	641,44
PANGUE	2022-01-01	1	509,78
POLCURA	2022-01-01	1	735,27
RALCO	2022-01-01	1	720,1
RAPEL	2022-01-01	1	104,0
ANGOSTURA	2022-01-01	2	316,42
CHAPO	2022-01-01	2	234,57
COLBUN	2022-01-01	2	429,99
INVERNADA	2022-01-01	2	1293,18
LAJA	2022-01-01	2	1319,33
MACHICURA	2022-01-01	2	256,8
MAULE	2022-01-01	2	2161,1
MELADO	2022-01-01	2	641,45
PANGUE	2022-01-01	2	509,86
POLCURA	2022-01-01	2	735,26
RALCO	2022-01-01	2	720,1
RAPEL	2022-01-01	2	104,0
ANGOSTURA	2022-01-01	3	316,44
CHAPO	2022-01-01	3	234,57
COLBUN	2022-01-01	3	429,97
INVERNADA	2022-01-01	3	1293,16
LAJA	2022-01-01	3	1319,33
MACHICURA	2022-01-01	3	256,88
MAULE	2022-01-01	3	2161,08
MELADO	2022-01-01	3	641,45
PANGUE	2022-01-01	3	509,85
POLCURA	2022-01-01	3	735,27
RALCO	2022-01-01	3	720,09
RAPEL	2022-01-01	3	104,0
ANGOSTURA	2022-01-01	4	316,45
CHAPO	2022-01-01	4	234,57
COLBUN	2022-01-01	4	429,97
INVERNADA	2022-01-01	4	1293,14
LAJA	2022-01-01	4	1319,33
MACHICURA	2022-01-01	4	256,9
MAULE	2022-01-01	4	2161,08
MELADO	2022-01-01	4	641,46
PANGUE	2022-01-01	4	509,82
POLCURA	2022-01-01	4	735,2
RALCO	2022-01-01	4	720,09
RAPEL	2022-01-01	4	104,0
ANGOSTURA	2022-01-01	5	316,46
CHAPO	2022-01-01	5	234,57
COLBUN	2022-01-01	5	429,96
INVERNADA	2022-01-01	5	1293,12
LAJA	2022-01-01	5	1319,33
MACHICURA	2022-01-01	5	256,91
MAULE	2022-01-01	5	2161,08
MELADO	2022-01-01	5	641,47
PANGUE	2022-01-01	5	509,78
POLCURA	2022-01-01	5	735,16
RALCO	2022-01-01	5	720,09
RAPEL	2022-01-01	5	104,0
ANGOSTURA	2022-01-01	6	316,48
CHAPO	2022-01-01	6	234,57
COLBUN	2022-01-01	6	429,96
INVERNADA	2022-01-01	6	1293,1
LAJA	2022-01-01	6	1319,33
MACHICURA	2022-01-01	6	256,91
MAULE	2022-01-01	6	2161,07
MELADO	2022-01-01	6	641,49
PANGUE	2022-01-01	6	509,73
POLCURA	2022-01-01	6	735,16
RALCO	2022-01-01	6	720,09
RAPEL	2022-01-01	6	104,0
ANGOSTURA	2022-01-01	7	316,49
CHAPO	2022-01-01	7	234,57
COLBUN	2022-01-01	7	429,95
INVERNADA	2022-01-01	7	1293,1
LAJA	2022-01-01	7	1319,33
MACHICURA	2022-01-01	7	256,93
MAULE	2022-01-01	7	2161,07
MELADO	2022-01-01	7	641,51
PANGUE	2022-01-01	7	509,69
POLCURA	2022-01-01	7	735,16
RALCO	2022-01-01	7	720,09
RAPEL	2022-01-01	7	104,0
ANGOSTURA	2022-01-01	8	316,5
CHAPO	2022-01-01	8	234,57
COLBUN	2022-01-01	8	429,95
INVERNADA	2022-01-01	8	1293,09
LAJA	2022-01-01	8	1319,33
MACHICURA	2022-01-01	8	256,91
MAULE	2022-01-01	8	2161,07
MELADO	2022-01-01	8	641,59
PANGUE	2022-01-01	8	509,66
POLCURA	2022-01-01	8	735,16
RALCO	2022-01-01	8	720,11
RAPEL	2022-01-01	8	104,0
ANGOSTURA	2022-01-01	9	316,51
CHAPO	2022-01-01	9	234,58
COLBUN	2022-01-01	9	429,95
INVERNADA	2022-01-01	9	1293,1
LAJA	2022-01-01	9	1319,33
MACHICURA	2022-01-01	9	256,88
MAULE	2022-01-01	9	2161,07
MELADO	2022-01-01	9	641,75
PANGUE	2022-01-01	9	509,62
POLCURA	2022-01-01	9	735,14
RALCO	2022-01-01	9	720,11
RAPEL	2022-01-01	9	104,0
ANGOSTURA	2022-01-01	10	316,53
CHAPO	2022-01-01	10	234,58
COLBUN	2022-01-01	10	429,94
INVERNADA	2022-01-01	10	1293,1
LAJA	2022-01-01	10	1319,33
MACHICURA	2022-01-01	10	256,85
MAULE	2022-01-01	10	2161,07
MELADO	2022-01-01	10	641,88
PANGUE	2022-01-01	10	509,61
POLCURA	2022-01-01	10	735,09
RALCO	2022-01-01	10	720,11
RAPEL	2022-01-01	10	104,0
ANGOSTURA	2022-01-01	11	316,54
CHAPO	2022-01-01	11	234,59
COLBUN	2022-01-01	11	429,94
INVERNADA	2022-01-01	11	1293,1
LAJA	2022-01-01	11	1319,33
MACHICURA	2022-01-01	11	256,82
MAULE	2022-01-01	11	2161,07
MELADO	2022-01-01	11	641,96
PANGUE	2022-01-01	11	509,6
POLCURA	2022-01-01	11	735,06
RALCO	2022-01-01	11	720,12
RAPEL	2022-01-01	11	104,0
